*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,10,5435.234,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,10,3907.998,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,9,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,9,5435.234,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,9,3907.998,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,8,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,8,4993.544,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,8,3770.092,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,7,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,7,4993.544,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,7,3770.092,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
